"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
8.378,7.141,84.259,0.0,0.0,0.222,1711564.0,4356695.0,0.0,16384.0,107736.0,112247.0,19932.0,20153.0
9.724,4.435,85.746,0.0,0.0,0.095,1959588.0,4971865.0,0.0,16384.0,123065.0,128197.0,22806.0,22802.0
10.399,5.073,84.179,0.0,0.0,0.349,2176338.0,5513305.0,0.0,16384.0,132928.0,139248.0,25284.0,25281.0
12.015,5.086,82.454,0.032,0.0,0.413,2354792.0,5978752.0,0.0,45056.0,141168.0,147984.0,27388.0,27386.0
10.867,4.971,84.003,0.0,0.0,0.159,2208894.0,5594471.0,0.0,16384.0,138872.0,146622.0,25699.0,25698.0
11.442,5.261,82.979,0.0,0.0,0.317,2258616.0,5728196.0,0.0,28672.0,139447.0,148721.0,26246.0,26246.0
10.655,4.898,84.128,0.0,0.0,0.318,2145372.0,5447135.0,0.0,16384.0,134894.0,144639.0,24948.0,24945.0
11.688,4.815,83.180,0.0,0.0,0.317,2233956.0,5666602.0,0.0,16384.0,142332.0,147536.0,25969.0,25964.0
10.124,4.380,85.306,0.032,0.0,0.159,1998262.0,5067744.0,0.0,28672.0,127518.0,138494.0,23239.0,23238.0
10.885,5.173,83.751,0.0,0.0,0.190,2196992.0,5560985.0,0.0,90112.0,137834.0,146312.0,25555.0,25553.0
10.443,4.335,84.968,0.0,0.0,0.253,2191008.0,5558565.0,0.0,20480.0,133028.0,139136.0,25448.0,25442.0
10.388,4.642,84.560,0.0,0.0,0.410,1965922.0,4986860.0,0.0,28672.0,125333.0,132277.0,22863.0,22857.0
11.239,4.675,83.766,0.0,0.0,0.320,2229432.0,5649715.0,0.0,16384.0,138383.0,146584.0,25938.0,25932.0
11.101,4.599,84.015,0.032,0.032,0.222,2186668.0,5547880.0,0.0,28672.0,137995.0,148476.0,25427.0,25423.0
11.203,4.965,83.450,0.0,0.0,0.382,2221480.0,5632625.0,0.0,16384.0,139280.0,144378.0,25837.0,25832.0
11.284,4.800,83.566,0.0,0.0,0.350,2166708.0,5492551.0,0.0,16384.0,134351.0,140338.0,25189.0,25190.0
10.821,4.488,84.532,0.0,0.0,0.159,2095460.0,5314898.0,0.0,16384.0,130571.0,136301.0,24367.0,24362.0
10.305,4.771,84.637,0.032,0.0,0.254,2077392.0,5269935.0,0.0,28672.0,129029.0,134951.0,24152.0,24148.0
11.351,5.278,82.989,0.032,0.0,0.350,2207570.0,5596699.0,0.0,28672.0,139096.0,146780.0,25681.0,25679.0
11.759,5.230,82.662,0.032,0.0,0.317,2165020.0,5484210.0,0.0,90112.0,150799.0,144579.0,25157.0,25153.0
10.670,4.795,84.249,0.0,0.0,0.286,2050910.0,5205490.0,0.0,20480.0,127225.0,133428.0,23857.0,23853.0
11.470,4.785,83.397,0.0,0.0,0.349,2244464.0,5692711.0,0.0,16384.0,136512.0,140954.0,26091.0,26090.0
10.744,5.308,83.694,0.032,0.0,0.223,2190784.0,5552288.0,0.0,20480.0,135908.0,142996.0,25475.0,25472.0
11.326,5.203,83.280,0.0,0.0,0.190,2201822.0,5580649.0,0.0,77824.0,134411.0,143732.0,25612.0,25612.0
11.199,5.425,83.122,0.0,0.0,0.254,2129038.0,5401763.0,0.0,16384.0,134813.0,144876.0,24744.0,24742.0
11.402,5.180,83.133,0.0,0.0,0.284,2121076.0,5378228.0,0.0,16384.0,130393.0,138539.0,24671.0,24669.0
10.618,4.691,84.437,0.0,0.0,0.254,2110590.0,5344186.0,0.0,16384.0,126681.0,133965.0,24534.0,24528.0
11.076,5.063,83.544,0.0,0.0,0.316,2201852.0,5586499.0,0.0,16384.0,134733.0,143014.0,25598.0,25593.0
11.171,5.017,83.528,0.032,0.0,0.252,2166756.0,5491956.0,0.0,40960.0,133266.0,142618.0,25200.0,25198.0
11.520,5.078,83.085,0.0,0.0,0.317,2140352.0,5432022.0,0.0,90112.0,135708.0,144994.0,24878.0,24876.0
11.220,5.261,83.265,0.0,0.0,0.254,2237770.0,5670412.0,0.0,20480.0,136458.0,142063.0,26036.0,26038.0
11.041,4.745,83.866,0.032,0.032,0.285,2090330.0,5287114.0,0.0,16384.0,129772.0,139574.0,24285.0,24280.0
10.713,4.691,84.216,0.0,0.0,0.380,2061628.0,5233534.0,0.0,16384.0,126326.0,135407.0,23975.0,23972.0
10.596,4.759,84.232,0.032,0.0,0.381,2105584.0,5344083.0,0.0,28672.0,131591.0,139962.0,24479.0,24475.0
11.488,4.665,83.593,0.0,0.0,0.254,2234486.0,5661100.0,0.0,28672.0,136216.0,142078.0,25974.0,25972.0
11.009,4.574,84.196,0.032,0.0,0.189,2099952.0,5324552.0,0.0,16384.0,133027.0,145264.0,24423.0,24425.0
11.337,4.700,83.677,0.0,0.0,0.286,2126914.0,5398083.0,0.0,16384.0,134697.0,144991.0,24746.0,24745.0
10.870,4.987,83.887,0.0,0.0,0.256,2262676.0,5745230.0,0.0,16384.0,138446.0,145428.0,26300.0,26298.0
11.757,4.544,83.286,0.032,0.0,0.381,2364448.0,5982145.0,0.0,61440.0,144688.0,153787.0,27480.0,27478.0
10.543,4.954,84.312,0.0,0.0,0.191,2114636.0,5371471.0,0.0,90112.0,132415.0,140611.0,24608.0,24609.0
10.990,4.824,83.994,0.032,0.0,0.160,2227066.0,5640678.0,0.0,32768.0,138621.0,148236.0,25877.0,25876.0
11.196,4.962,83.620,0.0,0.0,0.223,2162868.0,5486062.0,0.0,16384.0,133759.0,144070.0,25159.0,25154.0
11.263,4.709,83.773,0.0,0.0,0.255,2182812.0,5538244.0,0.0,16384.0,133402.0,139824.0,25379.0,25380.0
10.493,4.798,84.325,0.0,0.0,0.384,2169634.0,5503774.0,0.0,28672.0,133058.0,140806.0,25228.0,25231.0
11.345,5.081,83.509,0.0,0.0,0.064,2277258.0,5771127.0,0.0,16384.0,139193.0,149632.0,26480.0,26481.0
11.774,5.169,82.897,0.0,0.0,0.160,2345042.0,5952889.0,0.0,16384.0,141465.0,150514.0,27239.0,27235.0
11.086,4.751,83.877,0.0,0.0,0.285,2229490.0,5644842.0,0.0,28672.0,134027.0,132663.0,25954.0,25952.0
10.640,5.161,83.976,0.032,0.0,0.191,2180468.0,5525831.0,0.0,16384.0,133659.0,142858.0,25340.0,25339.0
11.685,5.606,82.425,0.0,0.031,0.252,2163768.0,5491193.0,0.0,28672.0,135443.0,144829.0,25171.0,25169.0
11.448,5.028,83.144,0.032,0.0,0.348,2169488.0,5503026.0,0.0,90112.0,134109.0,142235.0,25236.0,25231.0
11.795,4.883,83.006,0.0,0.0,0.317,2236600.0,5668542.0,0.0,20480.0,135651.0,142201.0,26003.0,26001.0
11.595,4.701,83.513,0.0,0.0,0.191,2226448.0,5643922.0,0.0,16384.0,135691.0,143481.0,25895.0,25894.0
11.323,4.948,83.476,0.032,0.0,0.222,2212218.0,5617496.0,0.0,28672.0,137067.0,146766.0,25718.0,25719.0
10.980,4.583,84.309,0.0,0.0,0.127,2147626.0,5442049.0,0.0,28672.0,134772.0,147144.0,24962.0,24958.0
11.806,5.208,82.702,0.0,0.0,0.284,2332092.0,5922246.0,0.0,16384.0,140995.0,147244.0,27114.0,27108.0
10.620,4.801,84.324,0.032,0.0,0.223,2132610.0,5410069.0,0.0,20480.0,134119.0,141666.0,24814.0,24810.0
11.019,4.890,83.773,0.0,0.0,0.318,2164422.0,5476582.0,0.0,16384.0,136388.0,145002.0,25154.0,25153.0
11.175,4.825,83.619,0.0,0.0,0.381,2207686.0,5603263.0,0.0,16384.0,137796.0,143231.0,25669.0,25664.0
11.503,5.052,83.190,0.032,0.0,0.222,2226984.0,5640886.0,0.0,49152.0,138831.0,140977.0,25910.0,25912.0
