"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
9.378,4.338,85.933,0.0,0.0,0.351,1981432.0,5002831.0,0.0,16384.0,116584.0,109621.0,23036.0,23037.0
10.107,4.503,85.107,0.0,0.0,0.283,1919018.0,4838775.0,0.0,16384.0,113912.0,106798.0,22332.0,22332.0
10.453,4.973,84.099,0.0,0.0,0.475,2056982.0,5221468.0,0.0,16384.0,118270.0,111636.0,23909.0,23908.0
10.728,4.684,84.304,0.0,0.0,0.285,2025044.0,5133196.0,0.0,40960.0,119196.0,114611.0,23540.0,23531.0
9.797,4.692,85.193,0.0,0.0,0.317,1849236.0,4705363.0,0.0,16384.0,108701.0,107349.0,21528.0,21529.0
10.212,4.821,84.618,0.032,0.0,0.317,2084712.0,5296850.0,0.0,28672.0,121235.0,116425.0,24238.0,24241.0
9.382,4.659,85.737,0.0,0.0,0.222,1785614.0,4519256.0,0.0,16384.0,106628.0,106564.0,20759.0,20753.0
10.736,4.578,84.433,0.0,0.0,0.253,2071556.0,5252413.0,0.0,16384.0,117353.0,110634.0,24080.0,24077.0
10.496,4.553,84.603,0.0,0.0,0.348,2038114.0,5177321.0,0.0,16384.0,119721.0,116825.0,23706.0,23707.0
9.832,4.553,85.394,0.032,0.0,0.190,1859716.0,4708570.0,0.0,102400.0,109514.0,106750.0,21626.0,21628.0
10.970,4.883,83.957,0.0,0.0,0.190,2031120.0,5161053.0,0.0,32768.0,120570.0,118671.0,23647.0,23646.0
10.928,4.352,84.466,0.0,0.0,0.254,2098514.0,5325159.0,0.0,16384.0,120867.0,114098.0,24381.0,24381.0
11.020,4.687,84.104,0.032,0.0,0.158,2134234.0,5407304.0,0.0,16384.0,124879.0,119065.0,24827.0,24829.0
10.591,5.153,84.003,0.0,0.0,0.253,2067964.0,5258678.0,0.0,16384.0,122681.0,122576.0,24046.0,24045.0
10.237,4.613,84.866,0.0,0.0,0.284,2055944.0,5220106.0,0.0,16384.0,117572.0,112169.0,23908.0,23908.0
11.010,5.033,83.611,0.031,0.031,0.283,2122234.0,5369941.0,0.0,40960.0,127854.0,121460.0,24688.0,24687.0
10.322,5.193,84.263,0.0,0.0,0.223,2069100.0,5271851.0,0.0,16384.0,117755.0,112560.0,24068.0,24063.0
9.631,4.800,84.997,0.0,0.0,0.572,1958600.0,4968474.0,0.0,16384.0,116356.0,114882.0,22781.0,22786.0
9.373,4.022,86.289,0.032,0.0,0.285,1859596.0,4716957.0,0.0,16384.0,105871.0,102441.0,21627.0,21626.0
9.599,4.641,85.378,0.0,0.0,0.381,2076388.0,5276710.0,0.0,90112.0,115535.0,105246.0,24143.0,24148.0
7.924,8.716,83.138,0.0,0.0,0.222,2127836.0,5407884.0,0.0,32768.0,123660.0,120236.0,24749.0,24749.0
10.500,6.325,82.764,0.032,0.0,0.380,2281784.0,5788140.0,0.0,28672.0,131989.0,129108.0,26526.0,26528.0
7.044,9.434,83.208,0.0,0.0,0.314,2146868.0,5452238.0,0.0,16384.0,123348.0,114209.0,24977.0,24980.0
8.939,6.358,84.419,0.0,0.0,0.283,2065430.0,5230992.0,0.0,16384.0,119441.0,109864.0,24007.0,24008.0
11.565,5.673,82.544,0.0,0.0,0.218,2131716.0,5403463.0,0.0,28672.0,126439.0,123607.0,24788.0,24792.0
11.908,5.673,82.107,0.0,0.0,0.312,2250486.0,5733066.0,0.0,28672.0,126700.0,116813.0,26154.0,26152.0
10.523,4.541,84.591,0.0,0.0,0.345,1918988.0,4858741.0,0.0,20480.0,110454.0,104833.0,22318.0,22320.0
11.066,4.925,83.759,0.031,0.0,0.218,1982986.0,5022764.0,0.0,28672.0,113122.0,109527.0,23051.0,23051.0
11.880,4.584,83.255,0.0,0.0,0.281,2139988.0,5454454.0,0.0,16384.0,119840.0,113205.0,24899.0,24904.0
12.122,4.688,82.788,0.062,0.0,0.339,2108180.0,5333656.0,0.0,90112.0,117585.0,109830.0,24502.0,24501.0
12.310,5.240,82.140,0.0,0.0,0.310,2113996.0,5360034.0,0.0,28672.0,121948.0,113852.0,24588.0,24589.0
11.929,4.753,82.852,0.031,0.0,0.435,2051672.0,5216429.0,0.0,20480.0,116987.0,113193.0,23865.0,23864.0
