"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
10.104,3.954,85.692,0.0,0.0,0.251,1858414.0,4773808.0,0.0,16384.0,101183.0,90361.0,21581.0,21581.0
7.491,3.571,88.812,0.032,0.0,0.095,1371634.0,3382527.0,0.0,16384.0,78087.0,73396.0,15986.0,15990.0
8.846,3.995,86.906,0.0,0.0,0.254,1778546.0,4557124.0,0.0,16384.0,96185.0,88455.0,20658.0,20664.0
8.663,4.142,86.880,0.0,0.0,0.316,1659340.0,4230645.0,0.0,28672.0,90451.0,87458.0,19313.0,19309.0
10.282,4.284,85.179,0.032,0.0,0.222,2120052.0,5313767.0,0.0,16384.0,111597.0,102490.0,24653.0,24699.0
9.088,3.958,86.764,0.0,0.0,0.190,1782310.0,4556438.0,0.0,32768.0,94852.0,90450.0,20727.0,20726.0
9.492,4.289,86.061,0.032,0.0,0.126,1822430.0,4588273.0,0.0,16384.0,97504.0,94210.0,21185.0,21192.0
8.804,4.071,86.967,0.0,0.0,0.158,1681406.0,4288368.0,0.0,16384.0,90331.0,87588.0,19544.0,19594.0
8.955,3.525,87.298,0.0,0.032,0.191,1689414.0,4294183.0,0.0,16384.0,90720.0,88237.0,19653.0,19651.0
7.916,3.547,88.379,0.063,0.0,0.095,1510958.0,3823818.0,0.0,102400.0,83351.0,84237.0,17563.0,17562.0
9.456,3.732,86.749,0.0,0.0,0.063,1739902.0,4404780.0,0.0,32768.0,93593.0,90076.0,20234.0,20261.0
9.893,4.046,85.904,0.0,0.0,0.158,1922738.0,4895336.0,0.0,16384.0,100568.0,93964.0,22363.0,22378.0
10.129,4.607,85.106,0.0,0.0,0.158,2048092.0,5185658.0,0.0,16384.0,105817.0,98336.0,23800.0,23793.0
8.637,3.860,87.377,0.0,0.0,0.127,1647594.0,4173598.0,0.0,16384.0,89267.0,87537.0,19159.0,19162.0
9.097,3.803,87.005,0.0,0.0,0.095,1773348.0,4504213.0,0.0,16384.0,95295.0,91866.0,20618.0,20634.0
8.633,3.749,87.492,0.0,0.0,0.126,1623054.0,4111340.0,0.0,40960.0,88509.0,87428.0,18860.0,18857.0
8.066,3.403,88.311,0.0,0.0,0.221,1484546.0,3753840.0,0.0,16384.0,80959.0,79633.0,17268.0,17273.0
8.407,3.477,87.990,0.032,0.0,0.095,1538044.0,3906750.0,0.0,16384.0,85065.0,85374.0,17876.0,17881.0
9.946,4.092,85.867,0.0,0.0,0.094,1844156.0,4688533.0,0.0,16384.0,98699.0,94564.0,21456.0,21463.0
9.765,4.153,85.923,0.0,0.0,0.159,1944104.0,4911236.0,0.0,90112.0,102923.0,99049.0,22597.0,22601.0
9.265,4.114,86.369,0.031,0.0,0.220,1706202.0,4344163.0,0.0,32768.0,92294.0,91019.0,19842.0,19842.0
