"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
10.580,4.910,84.226,0.032,0.0,0.253,2115262.0,5360396.0,0.0,16384.0,123504.0,121351.0,24574.0,24574.0
9.879,4.828,85.102,0.032,0.0,0.159,1900950.0,4815880.0,0.0,102400.0,118503.0,123544.0,22101.0,22098.0
10.465,4.173,85.109,0.0,0.0,0.253,2049000.0,5190444.0,0.0,28672.0,122252.0,120874.0,23825.0,23819.0
10.981,5.017,83.780,0.032,0.0,0.189,2121732.0,5394246.0,0.0,20480.0,126330.0,125619.0,24672.0,24673.0
11.030,5.057,83.723,0.0,0.0,0.190,2161414.0,5470790.0,0.0,24576.0,125884.0,123145.0,25136.0,25134.0
9.745,5.318,84.713,0.0,0.0,0.223,2077726.0,5273586.0,0.0,16384.0,125902.0,125468.0,24155.0,24183.0
10.283,4.654,84.780,0.0,0.0,0.283,1996422.0,5071470.0,0.0,16384.0,119307.0,118440.0,23210.0,23206.0
10.790,5.014,83.942,0.0,0.0,0.254,2153426.0,5455262.0,0.0,53248.0,132351.0,135408.0,25054.0,25051.0
10.376,4.583,84.596,0.0,0.0,0.446,2097390.0,5320462.0,0.0,16384.0,126284.0,127278.0,24384.0,24383.0
10.397,4.579,84.706,0.0,0.0,0.318,2122002.0,5380036.0,0.0,16384.0,126833.0,127688.0,24669.0,24665.0
10.845,4.540,84.237,0.0,0.0,0.378,2167074.0,5495947.0,0.0,16384.0,128750.0,127534.0,25201.0,25201.0
