"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
9.692,4.258,85.891,0.0,0.0,0.159,1979070.0,5020774.0,0.0,20480.0,117780.0,131533.0,23016.0,23018.0
11.526,4.750,83.471,0.0,0.0,0.253,2203260.0,5586131.0,0.0,16384.0,128967.0,143628.0,25626.0,25622.0
10.929,4.630,84.063,0.031,0.0,0.346,2189150.0,5556873.0,0.0,40960.0,124237.0,132571.0,25444.0,25443.0
11.020,5.021,83.675,0.0,0.0,0.284,2063662.0,5237228.0,0.0,16384.0,124066.0,139047.0,23994.0,23993.0
11.108,4.806,83.768,0.0,0.0,0.318,2154346.0,5460268.0,0.0,16384.0,129477.0,144871.0,25074.0,25072.0
11.326,4.759,83.598,0.032,0.0,0.286,2181586.0,5523808.0,0.0,28672.0,128906.0,142146.0,25349.0,25344.0
12.003,6.980,80.733,0.063,0.0,0.221,1878844.0,4778551.0,0.0,16384.0,114338.0,121612.0,21843.0,22063.0
10.802,4.986,83.765,0.0,0.032,0.415,2185340.0,5547504.0,0.0,28672.0,125785.0,136723.0,25426.0,25422.0
11.033,4.688,83.801,0.032,0.0,0.446,2180582.0,5525836.0,0.0,16384.0,127417.0,140019.0,25346.0,25344.0
11.037,4.599,83.984,0.0,0.0,0.381,2168694.0,5496602.0,0.0,90112.0,127834.0,138817.0,25223.0,25221.0
11.330,4.742,83.577,0.0,0.0,0.350,2258982.0,5732913.0,0.0,32768.0,131854.0,144635.0,26280.0,26282.0
11.286,5.107,83.228,0.032,0.0,0.347,2101228.0,5330163.0,0.0,16384.0,128519.0,136920.0,24423.0,24419.0
11.770,4.759,83.344,0.0,0.0,0.127,2236110.0,5665387.0,0.0,16384.0,130505.0,142559.0,25971.0,25970.0
10.828,4.554,84.331,0.0,0.0,0.287,2296054.0,5821034.0,0.0,28672.0,129624.0,138775.0,26710.0,26711.0
10.921,4.857,83.841,0.0,0.032,0.349,2115060.0,5370568.0,0.0,28672.0,124421.0,136428.0,24603.0,24603.0
11.341,4.828,83.577,0.0,0.0,0.254,2187650.0,5546261.0,0.0,28672.0,130796.0,144260.0,25441.0,25446.0
10.198,4.175,85.373,0.0,0.0,0.255,2126462.0,5394548.0,0.0,16384.0,123900.0,136233.0,24721.0,24719.0
11.746,5.021,82.854,0.0,0.0,0.379,2189674.0,5552696.0,0.0,16384.0,131565.0,142066.0,25464.0,25463.0
11.425,4.792,83.339,0.032,0.0,0.413,2186022.0,5540813.0,0.0,16384.0,129503.0,140820.0,25420.0,25421.0
11.348,4.577,83.630,0.032,0.0,0.413,2225058.0,5641849.0,0.0,102400.0,127980.0,138365.0,25875.0,25875.0
11.689,4.852,83.050,0.032,0.0,0.378,2224304.0,5646548.0,0.0,32768.0,128873.0,139527.0,25854.0,25855.0
10.803,4.525,84.417,0.0,0.0,0.255,2251754.0,5702572.0,0.0,16384.0,133037.0,147529.0,26166.0,26157.0
10.765,4.890,84.027,0.0,0.0,0.318,2208266.0,5603798.0,0.0,16384.0,129064.0,139604.0,25686.0,25685.0
10.412,4.216,84.957,0.0,0.0,0.415,2225543.0,5637297.0,0.0,16384.0,129719.0,137316.0,25861.0,25850.0
10.851,5.030,83.834,0.0,0.032,0.253,2107462.0,5338469.0,0.0,16384.0,134351.0,137383.0,24498.0,24480.0
11.287,4.236,84.192,0.032,0.0,0.253,2130588.0,5404517.0,0.0,40960.0,130577.0,144230.0,24787.0,24784.0
10.885,4.760,84.037,0.0,0.0,0.317,2277558.0,5773012.0,0.0,16384.0,130485.0,138895.0,26487.0,26483.0
10.635,4.635,84.349,0.0,0.0,0.381,2104856.0,5337516.0,0.0,16384.0,125896.0,140533.0,24458.0,24458.0
11.569,4.818,83.201,0.0,0.0,0.412,2256972.0,5718593.0,0.0,20480.0,129733.0,138043.0,26241.0,26239.0
10.337,4.485,84.796,0.032,0.0,0.350,2113338.0,5358912.0,0.0,98304.0,124470.0,137665.0,24562.0,24563.0
10.553,4.069,85.092,0.0,0.0,0.286,1979904.0,5022988.0,0.0,32768.0,117164.0,129632.0,23035.0,23029.0
11.444,5.013,83.165,0.0,0.0,0.378,2124640.0,5390350.0,0.0,40960.0,124459.0,137917.0,24727.0,24724.0
10.981,5.175,83.496,0.0,0.0,0.347,2168596.0,5502046.0,0.0,16384.0,126961.0,139959.0,25210.0,25209.0
12.212,5.049,82.360,0.0,0.032,0.347,2283978.0,5795395.0,0.0,16384.0,133372.0,146423.0,26541.0,26539.0
11.421,4.886,83.344,0.0,0.0,0.349,2296452.0,5819638.0,0.0,16384.0,130860.0,140209.0,26707.0,26708.0
11.323,4.979,83.476,0.032,0.0,0.190,2271146.0,5760492.0,0.0,28672.0,131880.0,144653.0,26407.0,26405.0
11.670,5.092,82.891,0.0,0.0,0.348,2276934.0,5767677.0,0.0,16384.0,133299.0,146950.0,26473.0,26471.0
11.718,5.017,82.788,0.032,0.0,0.445,2329512.0,5901671.0,0.0,28672.0,135218.0,149489.0,27084.0,27080.0
11.573,4.883,83.259,0.032,0.0,0.254,2250342.0,5710984.0,0.0,16384.0,131290.0,144450.0,26168.0,26170.0
10.318,5.382,83.981,0.032,0.0,0.287,2299900.0,5829126.0,0.0,90112.0,135860.0,152628.0,26735.0,26733.0
11.086,4.364,84.294,0.0,0.0,0.255,2210482.0,5603098.0,0.0,32768.0,128691.0,141246.0,25708.0,25707.0
10.528,4.230,84.987,0.032,0.0,0.223,2059865.0,5231781.0,0.0,16384.0,120805.0,133635.0,23943.0,23942.0
11.420,4.872,83.423,0.0,0.0,0.285,2170436.0,5490621.0,0.0,16384.0,127273.0,140339.0,25254.0,25252.0
10.360,4.675,84.776,0.0,0.0,0.190,2104400.0,5339075.0,0.0,28672.0,122524.0,133681.0,24462.0,24460.0
10.067,4.842,84.804,0.0,0.0,0.287,2112404.0,5363627.0,0.0,16384.0,124303.0,132408.0,24565.0,24562.0
11.118,4.511,84.022,0.032,0.0,0.318,2146196.0,5438644.0,0.0,28672.0,126797.0,138663.0,24950.0,24944.0
12.044,5.071,82.472,0.0,0.0,0.412,2281188.0,5785913.0,0.0,16384.0,133755.0,148557.0,26522.0,26520.0
11.562,4.846,83.149,0.0,0.032,0.412,2278396.0,5769979.0,0.0,16384.0,132283.0,145584.0,26516.0,26514.0
10.536,4.374,84.834,0.0,0.0,0.255,2092714.0,5309248.0,0.0,16384.0,123537.0,135181.0,24314.0,24306.0
10.966,4.545,84.170,0.0,0.0,0.318,2077612.0,5281366.0,0.0,122880.0,122819.0,137340.0,24158.0,24156.0
10.818,5.377,83.551,0.032,0.0,0.223,2233722.0,5658526.0,0.0,32768.0,129853.0,142556.0,25979.0,25976.0
11.270,5.111,83.460,0.0,0.0,0.159,2197580.0,5568998.0,0.0,16384.0,128732.0,141262.0,25549.0,25547.0
10.801,5.178,83.704,0.032,0.0,0.286,2095624.0,5316379.0,0.0,16384.0,129351.0,137748.0,24372.0,24368.0
11.626,4.852,83.302,0.0,0.0,0.221,2288118.0,5800516.0,0.0,16384.0,134088.0,148992.0,26601.0,26602.0
11.445,5.153,83.117,0.0,0.032,0.253,2118512.0,5364098.0,0.0,16384.0,126717.0,139365.0,24643.0,24650.0
12.059,5.006,82.620,0.031,0.0,0.283,2205104.0,5602006.0,0.0,45056.0,129361.0,142919.0,25632.0,25632.0
10.729,4.418,84.317,0.0,0.0,0.536,2099470.0,5325723.0,0.0,16384.0,123855.0,134956.0,24413.0,24411.0
11.143,4.598,84.004,0.032,0.0,0.223,2247870.0,5694587.0,0.0,16384.0,130285.0,142631.0,26137.0,26136.0
11.677,5.032,82.880,0.0,0.0,0.411,2220938.0,5643369.0,0.0,16384.0,133266.0,139328.0,25825.0,25823.0
