"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
10,65.887,13.247,16.819,0.0,0.0,4.047,11203658.0,28395587.0,0.0,16384.0,893075.0,213590.0,130296.0,130293.0
10,67.097,13.413,15.208,0.0,0.0,4.282,11510270.0,29187137.0,0.0,16384.0,823966.0,216638.0,133867.0,133868.0
10,66.908,12.331,16.483,0.0,0.0,4.278,11341220.0,28758171.0,0.0,16384.0,797323.0,214649.0,131813.0,131803.0
10,67.553,13.137,14.815,0.0,0.0,4.495,11568510.0,29336398.0,0.0,40960.0,817857.0,214531.0,134565.0,134580.0
10,68.086,12.772,14.191,0.063,0.0,4.888,11536036.0,29239148.0,0.0,36864.0,817291.0,212500.0,134120.0,134110.0
10,68.691,12.775,14.097,0.0,0.0,4.437,11488166.0,29141507.0,0.0,16384.0,847941.0,207997.0,133612.0,133620.0
10,66.857,13.448,14.811,0.0,0.0,4.884,11471822.0,29075998.0,0.0,16384.0,807087.0,210249.0,133382.0,133374.0
10,67.246,13.310,14.701,0.0,0.0,4.742,11469554.0,29085127.0,0.0,16384.0,809675.0,209692.0,133368.0,133365.0
10,67.484,13.069,14.735,0.0,0.0,4.713,11414692.0,28945836.0,0.0,20480.0,799709.0,209592.0,132739.0,132738.0
10,68.175,12.127,15.080,0.031,0.0,4.587,11451618.0,29039009.0,0.0,126976.0,801653.0,210145.0,133184.0,133194.0
10,67.067,13.667,14.552,0.0,0.0,4.714,11489988.0,29130117.0,0.0,16384.0,818746.0,211753.0,133556.0,133546.0
10,67.895,13.075,14.241,0.0,0.0,4.789,11526854.0,29235868.0,0.0,16384.0,807587.0,211644.0,134019.0,134022.0
10,68.226,12.433,14.882,0.0,0.0,4.458,11429924.0,28968706.0,0.0,16384.0,798364.0,210665.0,132871.0,132872.0
10,67.668,12.863,14.791,0.0,0.0,4.678,11483646.0,29125178.0,0.0,16384.0,804628.0,211108.0,133616.0,133617.0
10,68.198,13.240,14.001,0.032,0.0,4.530,11577788.0,29357591.0,0.0,36864.0,811519.0,211441.0,134529.0,134515.0
10,68.159,12.295,14.786,0.0,0.0,4.760,11424584.0,28964889.0,0.0,16384.0,813751.0,211112.0,132904.0,132911.0
10,67.288,13.041,14.777,0.0,0.0,4.894,11444960.0,29021789.0,0.0,16384.0,804761.0,210410.0,133051.0,133050.0
10,68.368,12.634,14.619,0.0,0.0,4.379,11489150.0,29132711.0,0.0,16384.0,803830.0,212257.0,133599.0,133603.0
10,68.261,12.977,14.103,0.0,0.0,4.659,11560986.0,29298735.0,0.0,16384.0,809214.0,211304.0,134457.0,134445.0
10,67.813,13.285,14.137,0.0,0.0,4.765,11539774.0,29264046.0,0.0,98304.0,811316.0,210820.0,134187.0,134190.0
10,66.741,13.393,15.170,0.0,0.0,4.697,11333044.0,28738180.0,0.0,32768.0,861557.0,211104.0,131760.0,131760.0
10,68.923,13.728,12.657,0.0,0.0,4.691,11700388.0,29669015.0,0.0,16384.0,827142.0,211082.0,136097.0,136092.0
10,68.968,13.367,12.928,0.0,0.0,4.738,11633226.0,29492881.0,0.0,16384.0,820331.0,211263.0,135196.0,135185.0
10,69.435,13.135,12.725,0.0,0.0,4.705,11652792.0,29556561.0,0.0,16384.0,822599.0,211038.0,135560.0,135559.0
10,71.948,14.295,8.507,0.0,0.0,5.250,12117922.0,30720587.0,0.0,24576.0,865191.0,208411.0,140897.0,140904.0
10,70.455,14.268,10.101,0.0,0.0,5.177,11717054.0,29708993.0,0.0,16384.0,1004815.0,205524.0,136270.0,136264.0
10,72.397,13.312,8.927,0.0,0.0,5.363,12034276.0,30524763.0,0.0,28672.0,884868.0,208230.0,139826.0,139830.0
