"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
16,76.202,14.461,4.464,0.0,0.0,4.873,13107942.0,33223203.0,0.0,20480.0,932168.0,202119.0,152494.0,152524.0
16,75.353,14.675,5.488,0.0,0.0,4.484,13256462.0,33617186.0,0.0,28672.0,935872.0,208650.0,154020.0,154028.0
16,73.945,13.768,7.530,0.0,0.0,4.757,13088844.0,33188563.0,0.0,16384.0,921141.0,211492.0,152379.0,152394.0
16,75.524,14.491,5.540,0.0,0.0,4.444,13287884.0,33709760.0,0.0,16384.0,931494.0,209057.0,154437.0,154430.0
16,74.969,14.667,5.559,0.0,0.0,4.805,13209476.0,33495886.0,0.0,16384.0,997535.0,207027.0,153617.0,153622.0
16,75.337,14.729,5.296,0.0,0.0,4.638,13270582.0,33639569.0,0.0,28672.0,948493.0,205066.0,154292.0,154301.0
16,75.717,14.047,5.071,0.0,0.0,5.165,13297640.0,33710552.0,0.0,16384.0,941887.0,205316.0,154618.0,154647.0
16,75.637,14.932,4.244,0.0,0.0,5.187,13369504.0,33914509.0,0.0,28672.0,953562.0,202253.0,155451.0,155475.0
16,75.455,14.250,5.399,0.0,0.0,4.896,13283330.0,33676418.0,0.0,16384.0,938482.0,206128.0,154446.0,154435.0
16,75.298,15.204,4.608,0.031,0.0,4.859,13174106.0,33401461.0,0.0,77824.0,1079199.0,200495.0,153152.0,153162.0
16,75.063,14.981,5.182,0.0,0.0,4.774,13221404.0,33546494.0,0.0,16384.0,1008102.0,204158.0,153757.0,153765.0
16,75.990,13.765,5.154,0.0,0.0,5.091,13292686.0,33688094.0,0.0,24576.0,957072.0,205567.0,154554.0,154558.0
16,75.315,14.596,4.760,0.0,0.0,5.328,13341918.0,33837164.0,0.0,16384.0,960332.0,203500.0,155199.0,155201.0
16,75.786,15.220,4.245,0.0,0.0,4.748,13377762.0,33912598.0,0.0,28672.0,959972.0,201364.0,155573.0,155602.0
16,74.372,14.447,6.030,0.094,0.0,5.057,13099118.0,33210937.0,0.0,16384.0,949498.0,208905.0,152250.0,152238.0
16,77.125,14.344,3.406,0.0,0.0,5.125,13423384.0,34032909.0,0.0,16384.0,984951.0,198554.0,156179.0,156206.0
16,76.524,14.551,3.960,0.0,0.0,4.965,13399196.0,33990389.0,0.0,32768.0,957941.0,200343.0,155782.0,155787.0
16,76.193,14.856,3.832,0.0,0.0,5.119,13406972.0,33988516.0,0.0,16384.0,956890.0,201177.0,155884.0,155916.0
16,76.718,14.151,4.173,0.0,0.0,4.958,13376784.0,33919126.0,0.0,40960.0,952156.0,201530.0,155540.0,155560.0
16,76.354,14.043,4.786,0.0,0.0,4.817,13260628.0,33629779.0,0.0,90112.0,962541.0,202653.0,154178.0,154180.0
16,76.051,14.093,4.771,0.031,0.0,5.053,13248940.0,33582344.0,0.0,16384.0,937626.0,203889.0,153941.0,153962.0
16,76.304,14.331,4.305,0.0,0.0,5.060,13359020.0,33872957.0,0.0,36864.0,950692.0,202611.0,155443.0,155451.0
16,76.746,14.915,3.241,0.0,0.0,5.098,13862978.0,35171778.0,0.0,16384.0,986182.0,206721.0,161223.0,161246.0
16,75.832,13.685,4.834,0.0,0.0,5.650,14233276.0,36065399.0,0.0,16384.0,1005320.0,221148.0,165484.0,165496.0
16,75.172,14.697,4.816,0.0,0.0,5.316,14206144.0,36032874.0,0.0,28672.0,1002960.0,220200.0,165151.0,165164.0
16,75.156,14.424,5.319,0.0,0.0,5.100,14132598.0,35827903.0,0.0,16384.0,1019834.0,221181.0,164422.0,164422.0
16,75.581,14.438,4.959,0.0,0.0,5.022,14208916.0,36017077.0,0.0,28672.0,1008279.0,221704.0,165096.0,165100.0
16,75.016,14.852,4.972,0.0,0.0,5.160,14193512.0,36003730.0,0.0,16384.0,1007471.0,221256.0,165013.0,165032.0
16,75.681,14.210,5.102,0.0,0.0,5.008,14155972.0,35901740.0,0.0,16384.0,1002810.0,222756.0,164663.0,164677.0
16,75.298,14.281,5.304,0.0,0.0,5.116,14140268.0,35839242.0,0.0,106496.0,992723.0,222745.0,164447.0,164476.0
16,75.725,14.540,5.023,0.0,0.0,4.711,14068272.0,35694365.0,0.0,28672.0,1068066.0,220224.0,163590.0,163584.0
16,75.290,14.537,5.338,0.0,0.0,4.835,14183792.0,35958420.0,0.0,16384.0,1005852.0,222566.0,164953.0,164960.0
16,74.505,14.945,5.432,0.0,0.0,5.118,14158412.0,35888327.0,0.0,24576.0,999540.0,223288.0,164604.0,164596.0
16,75.775,13.740,5.164,0.0,0.0,5.321,14159542.0,35910254.0,0.0,16384.0,1015091.0,221845.0,164693.0,164704.0
16,75.195,14.277,5.280,0.0,0.0,5.248,14120384.0,35818720.0,0.0,16384.0,1004283.0,221130.0,164146.0,164171.0
16,73.857,14.903,6.575,0.0,0.0,4.665,13763064.0,34875637.0,0.0,16384.0,1153671.0,220282.0,160064.0,160055.0
16,75.565,13.536,5.779,0.0,0.0,5.119,14004850.0,35509994.0,0.0,32768.0,1054954.0,221026.0,162783.0,162797.0
16,74.353,14.914,5.647,0.0,0.0,5.086,14034272.0,35610588.0,0.0,24576.0,1001555.0,222694.0,163207.0,163239.0
16,73.663,14.191,7.017,0.0,0.0,5.129,13934546.0,35304815.0,0.0,16384.0,985329.0,225162.0,162075.0,162061.0
16,76.217,14.735,4.053,0.0,0.0,4.995,14302656.0,36278563.0,0.0,106496.0,1012156.0,217385.0,166316.0,166325.0
16,73.458,15.296,5.732,0.187,0.0,5.327,14011802.0,35519367.0,0.0,16384.0,1023612.0,221905.0,162921.0,162932.0
16,75.291,14.052,5.187,0.0,0.0,5.470,14150172.0,35883442.0,0.0,16384.0,1008097.0,219446.0,164525.0,164536.0
16,74.945,14.870,4.967,0.0,0.0,5.218,14215360.0,36056997.0,0.0,40960.0,1014150.0,221945.0,165298.0,165316.0
16,74.702,14.890,5.266,0.0,0.0,5.141,14138242.0,35840124.0,0.0,16384.0,997512.0,223340.0,164392.0,164391.0
16,75.430,14.961,4.319,0.0,0.0,5.290,14270872.0,36177989.0,0.0,16384.0,1014204.0,218801.0,166006.0,166029.0
16,75.581,15.003,3.986,0.0,0.0,5.430,14244174.0,36136322.0,0.0,16384.0,1025656.0,215572.0,165532.0,165544.0
16,75.672,15.009,4.315,0.0,0.0,5.003,14223056.0,36061360.0,0.0,20480.0,1007886.0,217539.0,165395.0,165410.0
16,74.930,15.211,4.444,0.0,0.0,5.415,14222250.0,36050235.0,0.0,36864.0,1000168.0,217771.0,165379.0,165413.0
16,76.205,15.373,3.757,0.0,0.0,4.665,14323126.0,36335023.0,0.0,16384.0,1011819.0,214255.0,166561.0,166575.0
16,76.513,14.832,3.481,0.0,0.0,5.174,14356096.0,36387287.0,0.0,77824.0,1015917.0,213981.0,166857.0,166864.0
16,74.796,15.172,4.639,0.0,0.0,5.392,14111570.0,35793085.0,0.0,16384.0,1016273.0,217312.0,164153.0,164193.0
16,75.877,14.912,3.634,0.0,0.0,5.576,14350302.0,36378662.0,0.0,16384.0,1013060.0,215435.0,166890.0,166898.0
16,76.925,14.052,3.961,0.0,0.0,5.061,14282146.0,36220787.0,0.0,28672.0,1005041.0,216541.0,166030.0,166037.0
16,74.481,14.632,5.727,0.0,0.0,5.160,14082864.0,35709796.0,0.0,40960.0,995144.0,220526.0,163753.0,163776.0
16,74.640,14.697,4.753,0.031,0.0,5.879,14157264.0,35894290.0,0.0,16384.0,993820.0,217093.0,164667.0,164670.0
16,76.454,13.926,4.527,0.0,0.0,5.093,14178488.0,35947089.0,0.0,16384.0,1029679.0,217230.0,164788.0,164806.0
16,76.043,14.675,3.857,0.0,0.0,5.425,14258758.0,36155405.0,0.0,20480.0,1035729.0,215092.0,165894.0,165902.0
16,75.424,14.645,4.745,0.0,0.0,5.185,14171538.0,35935245.0,0.0,36864.0,991083.0,219154.0,164736.0,164751.0
16,76.691,14.596,3.617,0.0,0.0,5.096,14360472.0,36423887.0,0.0,28672.0,1019052.0,214536.0,167000.0,167030.0
