"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-single-hostnet-hostfs.csv -cndy --net-packets",,,,"Date:","20 Jun 2014 09:58:01 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
18.684,3.417,77.387,0.0,0.0,0.511,2674934.0,6784960.0,0.0,20480.0,119596.0,64643.0,31122.0,31123.0
17.941,3.187,78.203,0.032,0.0,0.637,2932070.0,7431410.0,0.0,106496.0,128885.0,70558.0,34076.0,34075.0
18.600,3.771,77.021,0.0,0.0,0.607,2567926.0,6513237.0,0.0,16384.0,115790.0,62088.0,29865.0,29863.0
16.789,3.466,79.110,0.032,0.0,0.604,3126882.0,7926732.0,0.0,16384.0,135537.0,75110.0,36385.0,36383.0
16.603,3.321,79.534,0.0,0.0,0.543,3193406.0,8098050.0,0.0,16384.0,138017.0,76607.0,37124.0,37122.0
19.037,4.050,76.244,0.0,0.0,0.670,2349988.0,5958588.0,0.0,16384.0,107516.0,57107.0,27298.0,27298.0
16.985,3.880,78.372,0.032,0.0,0.732,2945994.0,7467500.0,0.0,24576.0,129456.0,70973.0,34272.0,34268.0
16.862,3.493,78.946,0.0,0.0,0.699,3113522.0,7896485.0,0.0,28672.0,136280.0,74788.0,36228.0,36229.0
16.880,3.165,79.284,0.032,0.0,0.639,3049774.0,7731893.0,0.0,16384.0,134000.0,73231.0,35456.0,35457.0
17.126,2.912,79.139,0.032,0.0,0.791,3219860.0,8164526.0,0.0,16384.0,140335.0,77229.0,37442.0,37434.0
16.969,3.273,79.250,0.0,0.0,0.508,3172152.0,8042425.0,0.0,16384.0,138884.0,75979.0,36873.0,36871.0
16.677,3.316,79.114,0.128,0.0,0.765,3087932.0,7829739.0,0.0,167936.0,135691.0,74253.0,35919.0,35917.0
16.603,3.123,79.541,0.0,0.0,0.733,3179388.0,8061704.0,0.0,16384.0,138845.0,76284.0,36979.0,36976.0
16.608,3.046,79.545,0.032,0.0,0.769,3144676.0,7974415.0,0.0,28672.0,137601.0,75408.0,36549.0,36552.0
17.638,3.247,78.478,0.0,0.0,0.637,3115494.0,7897547.0,0.0,16384.0,137492.0,74861.0,36216.0,36211.0
17.424,3.275,78.696,0.0,0.0,0.604,3181874.0,8067950.0,0.0,16384.0,139606.0,76385.0,37016.0,37015.0
16.380,3.410,79.477,0.032,0.0,0.701,3336518.0,8460384.0,0.0,24576.0,145626.0,79944.0,38800.0,38798.0
16.200,3.405,79.758,0.0,0.0,0.637,3430852.0,8694140.0,0.0,16384.0,149479.0,81989.0,39901.0,39894.0
15.986,3.095,80.089,0.0,0.0,0.830,3459768.0,8769162.0,0.0,16384.0,150500.0,82561.0,40192.0,40190.0
16.364,3.030,80.032,0.032,0.0,0.542,3461950.0,8782117.0,0.0,28672.0,150610.0,82754.0,40278.0,40279.0
16.332,3.534,79.338,0.0,0.0,0.796,3303120.0,8371937.0,0.0,16384.0,147893.0,79108.0,38389.0,38384.0
16.407,3.364,79.499,0.032,0.0,0.698,3431172.0,8696078.0,0.0,86016.0,155633.0,82118.0,39914.0,39902.0
16.167,3.125,80.198,0.0,0.0,0.510,3506838.0,8892566.0,0.0,16384.0,158690.0,83676.0,40767.0,40763.0
15.677,3.097,80.524,0.0,0.0,0.702,3523278.0,8931880.0,0.0,16384.0,152467.0,84221.0,40973.0,40971.0
18.066,3.734,77.466,0.0,0.0,0.734,2690666.0,6820182.0,0.0,16384.0,122780.0,65015.0,31257.0,31250.0
16.259,3.176,79.771,0.032,0.0,0.762,3379960.0,8570330.0,0.0,53248.0,147357.0,80917.0,39342.0,39341.0
15.845,3.233,80.186,0.0,0.0,0.736,3318682.0,8413780.0,0.0,49152.0,145689.0,79745.0,38568.0,38567.0
15.769,3.077,80.288,0.032,0.0,0.833,3342523.0,8467634.0,0.0,16384.0,146756.0,80814.0,38849.0,38842.0
15.996,3.448,79.693,0.032,0.0,0.830,3278004.0,8313415.0,0.0,16384.0,145004.0,79313.0,38136.0,38136.0
16.984,3.295,79.246,0.0,0.0,0.475,3316480.0,8408745.0,0.0,16384.0,146475.0,79975.0,38540.0,38536.0
16.230,3.131,79.904,0.032,0.0,0.703,3293714.0,8349895.0,0.0,16384.0,145234.0,79584.0,38303.0,38304.0
7.972,1.550,89.972,0.063,0.0,0.443,1725834.0,4360150.0,0.0,135168.0,75435.0,41548.0,20034.0,19934.0
0.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,244.0,358.0,1.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,480.0,0.0,0.0,0.0,129.0,222.0,8.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,134.0,234.0,2.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,123.0,224.0,3.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,4271.0,5126.0,0.0,32768.0,448.0,652.0,51.0,39.0
7.423,1.832,90.114,0.0,0.0,0.632,1575606.0,3941315.0,0.0,0.0,79342.0,36158.0,18382.0,18324.0
27.513,5.121,65.172,0.0,0.0,2.195,5475314.0,13882964.0,0.0,16384.0,274426.0,120987.0,63643.0,63638.0
27.572,5.508,64.862,0.0,0.0,2.058,5472818.0,13873245.0,0.0,16384.0,275067.0,121125.0,63631.0,63621.0
27.121,5.283,65.514,0.0,0.0,2.081,5466870.0,13863409.0,0.0,16384.0,273836.0,120961.0,63578.0,63583.0
27.471,5.450,64.829,0.032,0.0,2.218,5465682.0,13857190.0,0.0,32768.0,274070.0,121027.0,63540.0,63537.0
27.924,5.198,64.913,0.0,0.0,1.965,5476054.0,13883511.0,0.0,28672.0,274391.0,121052.0,63668.0,63663.0
27.336,5.531,65.162,0.0,0.0,1.971,5470164.0,13871260.0,0.0,16384.0,273138.0,121054.0,63613.0,63610.0
27.734,5.037,65.477,0.032,0.0,1.721,5443486.0,13804298.0,0.0,16384.0,272330.0,120724.0,63322.0,63327.0
28.290,4.673,65.130,0.0,0.0,1.907,5436678.0,13782691.0,0.0,20480.0,271576.0,120341.0,63201.0,63194.0
26.918,5.083,65.857,0.0,0.0,2.142,5472652.0,13876011.0,0.0,24576.0,279341.0,122282.0,63628.0,63630.0
27.160,5.305,65.597,0.032,0.0,1.906,5500220.0,13943643.0,0.0,77824.0,288662.0,124560.0,63980.0,63979.0
26.819,5.402,65.809,0.0,0.0,1.970,5484816.0,13906535.0,0.0,28672.0,286302.0,124085.0,63775.0,63772.0
26.828,5.340,65.734,0.032,0.0,2.066,5501578.0,13947514.0,0.0,16384.0,283740.0,124333.0,63950.0,63943.0
27.247,5.081,65.767,0.032,0.0,1.874,5499728.0,13945162.0,0.0,16384.0,283454.0,124196.0,63942.0,63945.0
27.708,5.321,65.113,0.0,0.0,1.858,5502562.0,13953477.0,0.0,16384.0,283137.0,124614.0,64003.0,63997.0
27.252,4.888,66.102,0.032,0.0,1.725,5507816.0,13967636.0,0.0,24576.0,283950.0,124315.0,64041.0,64043.0
27.574,4.896,65.445,0.0,0.0,2.085,5492162.0,13925211.0,0.0,16384.0,282965.0,124310.0,63842.0,63838.0
27.483,5.345,65.718,0.032,0.0,1.423,5468788.0,13867060.0,0.0,28672.0,282114.0,123799.0,63633.0,63638.0
27.006,4.968,66.051,0.032,0.0,1.943,5473382.0,13876831.0,0.0,16384.0,282855.0,123936.0,63641.0,63636.0
27.030,5.298,65.609,0.0,0.0,2.062,5468998.0,13867935.0,0.0,16384.0,275697.0,122729.0,63586.0,63584.0
27.359,5.434,65.396,0.064,0.0,1.748,5456800.0,13833816.0,0.0,94208.0,268693.0,121171.0,63419.0,63417.0
28.038,4.937,65.190,0.0,0.0,1.835,5439040.0,13795029.0,0.0,16384.0,267872.0,120586.0,63289.0,63288.0
27.224,5.571,65.084,0.032,0.0,2.089,5444820.0,13801140.0,0.0,16384.0,268379.0,120880.0,63292.0,63290.0
27.244,5.188,65.563,0.0,0.0,2.005,5434540.0,13783712.0,0.0,28672.0,267567.0,120635.0,63188.0,63183.0
27.755,5.110,65.634,0.0,0.0,1.501,5441024.0,13794230.0,0.0,16384.0,268554.0,120690.0,63265.0,63268.0
27.452,5.159,65.637,0.032,0.0,1.720,5444940.0,13804502.0,0.0,24576.0,268215.0,120662.0,63290.0,63284.0
27.290,5.534,65.299,0.0,0.0,1.877,5443152.0,13799378.0,0.0,16384.0,268536.0,120619.0,63329.0,63328.0
27.612,5.605,64.883,0.0,0.0,1.900,5483674.0,13902534.0,0.0,16384.0,272764.0,121368.0,63751.0,63751.0
27.934,4.943,65.338,0.0,0.0,1.786,5486208.0,13912939.0,0.0,16384.0,277085.0,121501.0,63800.0,63799.0
27.026,5.361,65.667,0.032,0.0,1.914,5450206.0,13818525.0,0.0,28672.0,266942.0,120209.0,63377.0,63371.0
26.758,5.472,65.829,0.0,0.0,1.941,5418616.0,13736691.0,0.0,94208.0,263134.0,118797.0,62987.0,62975.0
27.126,5.457,65.704,0.032,0.0,1.681,5423348.0,13752048.0,0.0,16384.0,263487.0,119290.0,63038.0,63044.0
27.305,4.800,65.830,0.0,0.0,2.066,5427408.0,13764574.0,0.0,16384.0,263624.0,119361.0,63179.0,63174.0
26.707,5.010,66.241,0.032,0.032,1.978,5398012.0,13683310.0,0.0,20480.0,261301.0,118761.0,62729.0,62724.0
