"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
9,68.497,12.689,13.794,0.0,0.0,5.019,11603340.0,29429720.0,0.0,16384.0,768370.0,210009.0,134998.0,135006.0
9,68.182,13.699,13.887,0.0,0.0,4.232,11640650.0,29508886.0,0.0,28672.0,764437.0,211877.0,135330.0,135323.0
9,68.284,13.321,13.289,0.0,0.0,5.106,11695206.0,29660510.0,0.0,16384.0,781215.0,212679.0,136018.0,136028.0
9,69.085,13.177,12.765,0.0,0.0,4.973,11773254.0,29846972.0,0.0,16384.0,781524.0,213567.0,136855.0,136849.0
9,69.562,13.189,12.244,0.0,0.0,5.005,11770378.0,29835955.0,0.0,16384.0,827330.0,213797.0,136870.0,136866.0
9,68.149,13.592,13.308,0.0,0.0,4.951,11694676.0,29659379.0,0.0,16384.0,784323.0,213265.0,135983.0,135971.0
9,69.036,13.357,12.754,0.032,0.0,4.822,11772974.0,29850881.0,0.0,16384.0,785900.0,215814.0,136880.0,136882.0
9,69.380,13.651,12.148,0.0,0.0,4.822,11817602.0,29972862.0,0.0,28672.0,793981.0,215619.0,137508.0,137517.0
9,69.202,13.443,12.654,0.0,0.0,4.702,11786774.0,29877532.0,0.0,24576.0,786708.0,214593.0,136959.0,136947.0
9,67.895,13.926,13.296,0.0,0.0,4.883,11654314.0,29550994.0,0.0,81920.0,810103.0,213311.0,135485.0,135486.0
9,68.550,13.043,13.710,0.0,0.0,4.697,11546030.0,29278631.0,0.0,16384.0,898864.0,212381.0,134305.0,134299.0
9,68.791,13.595,13.093,0.0,0.0,4.521,11716420.0,29705002.0,0.0,16384.0,788697.0,214706.0,136280.0,136279.0
9,67.664,13.665,13.822,0.0,0.0,4.849,11641676.0,29508266.0,0.0,16384.0,775631.0,214703.0,135364.0,135375.0
9,67.691,13.177,14.571,0.0,0.0,4.561,11559074.0,29308827.0,0.0,40960.0,761359.0,212939.0,134398.0,134378.0
9,68.744,13.477,12.464,0.0,0.0,5.315,11740070.0,29777271.0,0.0,16384.0,784462.0,212397.0,136463.0,136471.0
9,67.685,13.701,13.827,0.031,0.0,4.756,11542738.0,29265132.0,0.0,16384.0,821759.0,212798.0,134246.0,134243.0
9,68.748,12.709,13.623,0.0,0.0,4.920,11630140.0,29475528.0,0.0,16384.0,776011.0,213841.0,135212.0,135207.0
9,67.925,13.333,13.648,0.0,0.0,5.094,11609618.0,29450983.0,0.0,16384.0,767298.0,212630.0,135009.0,135008.0
9,68.841,13.043,13.390,0.0,0.0,4.726,11647978.0,29533305.0,0.0,20480.0,773448.0,212900.0,135418.0,135422.0
9,68.659,12.872,13.536,0.0,0.0,4.934,11630932.0,29484732.0,0.0,118784.0,766647.0,212118.0,135263.0,135250.0
9,68.061,12.959,13.942,0.0,0.0,5.038,11592350.0,29397742.0,0.0,16384.0,773694.0,212864.0,134809.0,134817.0
9,70.009,12.504,12.692,0.031,0.0,4.763,11725268.0,29727927.0,0.0,20480.0,780604.0,212566.0,136364.0,136378.0
9,68.043,13.048,13.993,0.0,0.0,4.916,11532832.0,29249675.0,0.0,16384.0,767711.0,211102.0,134009.0,133997.0
9,68.501,11.954,14.421,0.0,0.0,5.123,11520818.0,29209055.0,0.0,16384.0,757382.0,210795.0,134038.0,134046.0
9,68.077,13.041,13.641,0.0,0.0,5.242,11587236.0,29384095.0,0.0,16384.0,766327.0,211785.0,134688.0,134687.0
