"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
6,60.172,11.843,23.337,0.0,0.0,4.648,10534552.0,26712923.0,0.0,16384.0,753052.0,203985.0,122546.0,122537.0
6,61.339,11.147,22.614,0.032,0.0,4.869,10688278.0,27104835.0,0.0,16384.0,749043.0,206378.0,124295.0,124300.0
6,60.279,11.847,22.806,0.0,0.0,5.068,10601050.0,26875651.0,0.0,28672.0,739434.0,204507.0,123249.0,123238.0
6,60.792,12.108,21.870,0.0,0.0,5.230,10664424.0,27040925.0,0.0,16384.0,747309.0,206410.0,123970.0,123971.0
6,60.637,11.783,23.121,0.032,0.0,4.427,10553988.0,26761010.0,0.0,16384.0,735660.0,203355.0,122767.0,122766.0
6,60.766,11.802,23.062,0.0,0.0,4.370,10601594.0,26876113.0,0.0,16384.0,744280.0,204818.0,123271.0,123266.0
6,60.840,12.448,22.477,0.0,0.0,4.234,10654090.0,27022363.0,0.0,16384.0,747837.0,206053.0,123869.0,123869.0
6,61.046,11.664,22.631,0.0,0.0,4.659,10567484.0,26791865.0,0.0,16384.0,739928.0,203975.0,122889.0,122884.0
6,60.444,12.108,22.979,0.032,0.0,4.437,10582608.0,26834372.0,0.0,28672.0,735863.0,203546.0,123040.0,123039.0
6,60.761,12.456,22.282,0.0,0.0,4.501,10632034.0,26953401.0,0.0,90112.0,740858.0,204345.0,123653.0,123663.0
6,60.914,12.056,22.240,0.0,0.0,4.791,10583980.0,26836514.0,0.0,20480.0,776463.0,203849.0,123067.0,123051.0
6,60.184,11.580,22.874,0.032,0.0,5.330,10602304.0,26888303.0,0.0,16384.0,736828.0,204118.0,123332.0,123338.0
6,60.473,11.909,23.020,0.0,0.0,4.598,10555396.0,26761760.0,0.0,20480.0,732086.0,201752.0,122713.0,122702.0
6,60.281,11.731,23.175,0.0,0.0,4.814,10541466.0,26725420.0,0.0,16384.0,735770.0,201906.0,122576.0,122575.0
6,60.267,11.411,22.950,0.0,0.0,5.372,10590950.0,26861942.0,0.0,28672.0,735483.0,202573.0,123104.0,123103.0
6,59.574,11.546,23.696,0.0,0.0,5.184,10476904.0,26562752.0,0.0,16384.0,719465.0,199978.0,121911.0,121903.0
6,59.821,12.149,23.310,0.0,0.0,4.719,10400422.0,26361719.0,0.0,16384.0,811995.0,201118.0,120883.0,120878.0
6,60.456,11.850,22.592,0.032,0.0,5.070,10597676.0,26875519.0,0.0,16384.0,745432.0,203095.0,123197.0,123193.0
6,60.784,12.838,21.376,0.0,0.0,5.002,10682592.0,27079554.0,0.0,16384.0,750344.0,204038.0,124203.0,124192.0
6,60.643,11.897,22.669,0.0,0.0,4.791,10602462.0,26902634.0,0.0,151552.0,741192.0,202039.0,123176.0,123166.0
6,61.719,11.259,22.391,0.0,0.0,4.631,10631774.0,26935956.0,0.0,28672.0,739225.0,204470.0,123727.0,123735.0
6,59.245,11.644,24.152,0.032,0.0,4.926,10436810.0,26469261.0,0.0,16384.0,759848.0,200205.0,121351.0,121354.0
6,60.455,11.655,23.057,0.0,0.0,4.833,10542174.0,26726937.0,0.0,16384.0,730237.0,201568.0,122650.0,122646.0
6,60.587,11.698,22.946,0.0,0.0,4.770,10578164.0,26824353.0,0.0,20480.0,734653.0,202318.0,122950.0,122949.0
6,58.925,11.516,24.312,0.032,0.0,5.214,10471394.0,26555632.0,0.0,16384.0,719492.0,200588.0,121789.0,121783.0
6,59.904,11.611,23.445,0.0,0.0,5.040,10519480.0,26668410.0,0.0,28672.0,725228.0,201435.0,122307.0,122305.0
6,59.626,12.476,23.369,0.0,0.0,4.528,10468742.0,26542659.0,0.0,16384.0,739149.0,200473.0,121741.0,121736.0
6,59.791,12.028,23.612,0.0,0.0,4.570,10536556.0,26719332.0,0.0,24576.0,722932.0,200758.0,122494.0,122482.0
6,59.159,11.978,24.466,0.032,0.0,4.364,10493884.0,26600213.0,0.0,16384.0,733121.0,208178.0,121976.0,121979.0
6,57.616,11.504,27.055,0.032,0.0,3.792,10133222.0,25695698.0,0.0,106496.0,710465.0,207913.0,117917.0,117913.0
6,60.978,11.767,23.565,0.0,0.0,3.691,10623240.0,26933028.0,0.0,16384.0,759250.0,218800.0,123511.0,123504.0
6,60.553,11.888,23.490,0.0,0.0,4.069,10633788.0,26957910.0,0.0,24576.0,772571.0,218816.0,123622.0,123623.0
6,59.496,11.759,24.347,0.0,0.0,4.398,10534480.0,26718277.0,0.0,16384.0,752513.0,215765.0,122512.0,122507.0
6,61.130,11.304,23.524,0.0,0.0,4.042,10641022.0,26978569.0,0.0,16384.0,758839.0,218644.0,123742.0,123750.0
6,59.153,12.330,24.344,0.0,0.0,4.173,10555782.0,26768647.0,0.0,16384.0,749835.0,215711.0,122709.0,122695.0
6,60.500,12.385,23.060,0.0,0.0,4.054,10664866.0,27037524.0,0.0,16384.0,763620.0,216414.0,124002.0,124001.0
6,59.942,11.559,24.175,0.0,0.0,4.323,10568658.0,26800541.0,0.0,20480.0,754310.0,217000.0,122939.0,122936.0
6,58.974,12.092,25.166,0.0,0.0,3.767,10429944.0,26447147.0,0.0,28672.0,761930.0,214056.0,121232.0,121227.0
6,59.930,11.897,24.048,0.0,0.0,4.124,10557788.0,26766763.0,0.0,16384.0,752394.0,214946.0,122795.0,122807.0
6,58.482,11.703,25.383,0.032,0.0,4.401,10418166.0,26420664.0,0.0,77824.0,738055.0,213588.0,121081.0,121080.0
6,61.455,12.336,21.916,0.0,0.0,4.293,10800824.0,27381956.0,0.0,16384.0,779932.0,218745.0,125614.0,125605.0
6,59.469,11.982,24.407,0.0,0.0,4.142,10468888.0,26539115.0,0.0,16384.0,741707.0,213848.0,121713.0,121701.0
6,58.206,11.654,25.990,0.0,0.0,4.151,10196024.0,25857627.0,0.0,28672.0,807909.0,210655.0,118592.0,118593.0
6,60.373,12.239,23.308,0.0,0.0,4.080,10539226.0,26730640.0,0.0,28672.0,769967.0,216160.0,122589.0,122588.0
6,60.324,12.389,23.062,0.0,0.0,4.225,10674062.0,27063698.0,0.0,16384.0,769022.0,218446.0,124109.0,124110.0
6,58.673,11.927,25.297,0.0,0.0,4.104,10419330.0,26412008.0,0.0,16384.0,741960.0,213882.0,121155.0,121147.0
6,58.116,11.426,26.162,0.0,0.0,4.297,10332214.0,26197891.0,0.0,16384.0,732250.0,212618.0,120131.0,120128.0
6,58.669,11.388,25.624,0.064,0.0,4.255,10387782.0,26335759.0,0.0,20480.0,750226.0,214238.0,120819.0,120824.0
6,60.487,11.958,23.632,0.032,0.0,3.891,10611282.0,26908567.0,0.0,16384.0,764982.0,216277.0,123279.0,123263.0
6,57.896,11.733,26.439,0.032,0.0,3.900,10315138.0,26154135.0,0.0,212992.0,726862.0,211282.0,120089.0,120103.0
6,60.183,11.607,24.130,0.0,0.0,4.080,10526892.0,26694638.0,0.0,16384.0,751491.0,216212.0,122342.0,122333.0
6,59.854,12.053,24.043,0.0,0.0,4.049,10557118.0,26770400.0,0.0,16384.0,751551.0,217543.0,122751.0,122744.0
6,60.374,12.024,23.414,0.0,0.0,4.188,10624904.0,26943340.0,0.0,16384.0,762512.0,218454.0,123488.0,123488.0
6,60.662,11.767,23.912,0.0,0.0,3.659,10550834.0,26743718.0,0.0,16384.0,770553.0,218067.0,122773.0,122770.0
6,60.482,11.925,23.216,0.0,0.0,4.377,10665392.0,27041915.0,0.0,28672.0,766945.0,218025.0,123887.0,123876.0
6,60.495,11.699,23.462,0.0,0.0,4.344,10610364.0,26899089.0,0.0,16384.0,763792.0,216363.0,123468.0,123472.0
6,60.370,11.551,23.580,0.032,0.0,4.467,10663928.0,27042867.0,0.0,16384.0,771087.0,218150.0,124011.0,124012.0
6,60.596,11.643,23.065,0.0,0.0,4.695,10673838.0,27070723.0,0.0,16384.0,765186.0,219673.0,124118.0,124112.0
6,58.370,11.967,25.366,0.0,0.0,4.297,10347428.0,26231506.0,0.0,16384.0,737914.0,212214.0,120354.0,120352.0
