"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
2,33.880,6.309,57.445,0.032,0.0,2.334,6227272.0,15792642.0,0.0,45056.0,321971.0,120072.0,72426.0,72428.0
2,32.703,6.812,57.301,0.0,0.0,3.185,6235906.0,15811920.0,0.0,16384.0,321994.0,120416.0,72501.0,72500.0
2,33.923,6.191,57.391,0.032,0.0,2.464,6232662.0,15798581.0,0.0,16384.0,322136.0,120549.0,72451.0,72451.0
2,32.720,6.474,58.013,0.0,0.0,2.793,6204254.0,15730904.0,0.0,16384.0,319278.0,119940.0,72149.0,72133.0
2,33.059,6.517,57.513,0.032,0.0,2.879,6231854.0,15797511.0,0.0,16384.0,324653.0,121033.0,72470.0,72475.0
2,33.471,5.970,58.145,0.0,0.0,2.413,6191336.0,15700158.0,0.0,28672.0,325363.0,119494.0,72023.0,72019.0
2,32.899,6.421,58.106,0.032,0.0,2.543,6207812.0,15742220.0,0.0,28672.0,324974.0,122327.0,72147.0,72148.0
2,33.955,6.412,57.296,0.032,0.0,2.306,6254496.0,15857121.0,0.0,16384.0,332507.0,125888.0,72722.0,72709.0
2,33.397,6.369,57.605,0.0,0.0,2.630,6243380.0,15829858.0,0.0,16384.0,332417.0,125797.0,72606.0,72607.0
2,33.396,6.295,57.853,0.031,0.0,2.424,6197040.0,15710268.0,0.0,90112.0,325506.0,123791.0,72062.0,72055.0
2,33.597,6.212,57.591,0.0,0.0,2.599,6208656.0,15745863.0,0.0,16384.0,331077.0,125283.0,72198.0,72197.0
2,33.080,6.426,57.740,0.0,0.0,2.754,6226918.0,15785290.0,0.0,16384.0,329623.0,124749.0,72373.0,72367.0
2,32.847,6.817,57.451,0.032,0.0,2.854,6251938.0,15852802.0,0.0,28672.0,332929.0,126411.0,72746.0,72745.0
2,33.682,5.920,57.708,0.0,0.0,2.691,6236240.0,15812046.0,0.0,16384.0,330377.0,125087.0,72508.0,72510.0
2,33.800,6.137,57.424,0.0,0.0,2.639,6274552.0,15904550.0,0.0,16384.0,335613.0,126655.0,72953.0,72946.0
2,33.365,6.616,57.624,0.0,0.032,2.363,6223720.0,15783607.0,0.0,16384.0,329153.0,124007.0,72364.0,72365.0
2,33.534,6.327,57.672,0.0,0.0,2.468,6229804.0,15797420.0,0.0,16384.0,325287.0,122748.0,72451.0,72448.0
2,32.922,6.331,58.025,0.0,0.0,2.722,6220354.0,15772571.0,0.0,16384.0,318120.0,119774.0,72307.0,72305.0
2,33.069,5.903,58.299,0.032,0.0,2.698,6214124.0,15750040.0,0.0,28672.0,317443.0,119534.0,72229.0,72218.0
2,33.312,6.449,57.534,0.031,0.0,2.674,6232114.0,15799113.0,0.0,106496.0,319138.0,119809.0,72461.0,72461.0
2,32.953,6.280,57.977,0.032,0.0,2.759,6222510.0,15778731.0,0.0,20480.0,321050.0,120160.0,72387.0,72388.0
2,33.407,6.011,57.925,0.0,0.0,2.657,6221210.0,15775075.0,0.0,16384.0,318137.0,119694.0,72335.0,72332.0
2,32.985,6.173,58.088,0.032,0.0,2.722,6220250.0,15771725.0,0.0,16384.0,318034.0,119710.0,72320.0,72316.0
2,33.080,6.248,58.167,0.0,0.0,2.506,6218284.0,15768939.0,0.0,16384.0,318528.0,119530.0,72334.0,72338.0
2,32.910,6.506,58.045,0.032,0.0,2.507,6230240.0,15794055.0,0.0,28672.0,318359.0,119965.0,72405.0,72397.0
2,33.259,6.272,57.903,0.032,0.0,2.534,6223336.0,15780213.0,0.0,16384.0,321957.0,120479.0,72378.0,72383.0
2,33.218,6.518,57.651,0.0,0.0,2.613,6224086.0,15782619.0,0.0,16384.0,317380.0,119479.0,72370.0,72363.0
2,32.487,6.542,57.891,0.0,0.0,3.080,6233834.0,15807450.0,0.0,16384.0,317119.0,118615.0,72484.0,72488.0
2,33.735,5.834,57.863,0.032,0.0,2.536,6234350.0,15806715.0,0.0,16384.0,316460.0,118682.0,72486.0,72476.0
2,33.302,6.667,57.630,0.032,0.0,2.370,6236336.0,15809967.0,0.0,90112.0,316884.0,118641.0,72515.0,72524.0
2,33.281,6.031,57.720,0.0,0.0,2.968,6228302.0,15794182.0,0.0,36864.0,316789.0,118496.0,72458.0,72448.0
2,33.754,6.278,57.476,0.0,0.0,2.492,6233698.0,15805366.0,0.0,16384.0,318902.0,118914.0,72471.0,72468.0
2,33.027,6.561,57.813,0.032,0.0,2.567,6239402.0,15820079.0,0.0,16384.0,317308.0,118791.0,72536.0,72534.0
2,33.670,6.412,57.423,0.0,0.0,2.495,6250680.0,15848944.0,0.0,16384.0,318397.0,118954.0,72671.0,72664.0
2,32.859,6.420,57.685,0.0,0.032,3.004,6239242.0,15821585.0,0.0,16384.0,316993.0,118551.0,72585.0,72587.0
2,33.713,5.946,57.369,0.0,0.0,2.973,6258938.0,15868844.0,0.0,45056.0,319062.0,119105.0,72781.0,72774.0
2,34.458,6.045,57.143,0.0,0.0,2.354,6276702.0,15918903.0,0.0,16384.0,331536.0,124292.0,72998.0,72998.0
2,33.185,6.694,57.392,0.032,0.0,2.697,6240034.0,15819660.0,0.0,16384.0,335412.0,127093.0,72533.0,72535.0
2,33.418,6.290,57.560,0.0,0.0,2.732,6244238.0,15829494.0,0.0,16384.0,333991.0,126819.0,72600.0,72588.0
2,33.280,6.605,57.479,0.032,0.0,2.604,6250428.0,15847413.0,0.0,94208.0,334516.0,127262.0,72681.0,72683.0
2,34.250,6.515,56.894,0.032,0.0,2.309,6271028.0,15902288.0,0.0,28672.0,337555.0,127848.0,72939.0,72934.0
2,33.534,6.371,57.179,0.032,0.0,2.884,6261590.0,15878586.0,0.0,28672.0,336548.0,127491.0,72798.0,72793.0
