"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
4,45.326,14.102,35.753,0.032,0.0,4.786,10216702.0,25907949.0,0.0,28672.0,652285.0,197806.0,118819.0,118826.0
4,47.166,13.567,34.682,0.0,0.0,4.586,10300142.0,26113349.0,0.0,16384.0,658076.0,199907.0,119851.0,119843.0
4,47.185,14.139,34.005,0.0,0.0,4.671,10344258.0,26228520.0,0.0,16384.0,666555.0,202198.0,120183.0,120184.0
4,46.995,13.308,34.426,0.032,0.0,5.239,10317272.0,26157503.0,0.0,16384.0,662087.0,200717.0,119959.0,119952.0
4,47.108,13.870,34.260,0.0,0.0,4.762,10298466.0,26114804.0,0.0,16384.0,663655.0,200325.0,119777.0,119778.0
4,48.190,13.169,34.092,0.032,0.0,4.518,10324834.0,26180344.0,0.0,20480.0,667106.0,202233.0,120101.0,120104.0
4,46.811,13.805,34.529,0.0,0.0,4.856,10295062.0,26102322.0,0.0,28672.0,657005.0,199487.0,119689.0,119684.0
4,47.377,13.564,34.485,0.0,0.0,4.575,10303346.0,26121601.0,0.0,16384.0,659613.0,199998.0,119758.0,119751.0
4,46.284,13.652,35.183,0.0,0.0,4.880,10257192.0,26009411.0,0.0,16384.0,652014.0,198596.0,119309.0,119305.0
4,47.341,13.485,34.465,0.032,0.0,4.676,10302558.0,26128735.0,0.0,90112.0,661795.0,201508.0,119881.0,119884.0
4,45.765,13.615,36.146,0.0,0.0,4.474,10182244.0,25810041.0,0.0,16384.0,645242.0,195502.0,118269.0,118266.0
4,46.250,13.565,35.589,0.0,0.0,4.596,10238582.0,25966445.0,0.0,16384.0,647303.0,197402.0,119088.0,119081.0
4,47.858,14.578,33.280,0.0,0.0,4.284,10358160.0,26260908.0,0.0,28672.0,673435.0,203583.0,120430.0,120432.0
4,47.987,13.035,34.121,0.0,0.0,4.856,10320530.0,26166549.0,0.0,28672.0,663265.0,201286.0,120018.0,120008.0
4,47.372,12.628,35.256,0.032,0.0,4.712,10262952.0,26020464.0,0.0,16384.0,651235.0,198156.0,119333.0,119330.0
4,47.153,13.573,34.802,0.0,0.0,4.471,10299886.0,26119634.0,0.0,16384.0,661921.0,200313.0,119774.0,119774.0
4,45.978,14.181,35.167,0.0,0.0,4.674,10246520.0,25979238.0,0.0,16384.0,649910.0,197835.0,119120.0,119120.0
4,47.510,14.336,33.365,0.0,0.0,4.789,10307640.0,26135827.0,0.0,16384.0,672921.0,203782.0,119896.0,119893.0
