"Host:","arldcn24",,,,"User:","root"
"Cmdline:","dstat --output /tmp/dstat-run-2000000.csv -cndy --net-packets",,,,"Date:","16 Jun 2014 16:57:12 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
15.690,4.963,77.970,0.032,0.0,1.345,2886238.0,7317446.0,0.0,16384.0,132697.0,70123.0,33595.0,33587.0
15.675,4.990,77.991,0.0,0.0,1.344,2912652.0,7384332.0,0.0,16384.0,134163.0,70716.0,33857.0,33856.0
15.968,4.736,78.080,0.0,0.0,1.216,2912382.0,7384013.0,0.0,16384.0,134121.0,70691.0,33878.0,33873.0
15.642,4.747,78.305,0.032,0.032,1.242,2850846.0,7229650.0,0.0,40960.0,130793.0,69122.0,33143.0,33142.0
16.226,4.272,78.419,0.0,0.0,1.084,2847482.0,7219770.0,0.0,28672.0,130306.0,69187.0,33116.0,33112.0
15.008,5.342,78.219,0.0,0.032,1.399,2838816.0,7197091.0,0.0,16384.0,130616.0,69017.0,33011.0,33008.0
15.161,4.692,78.519,0.032,0.0,1.596,2842268.0,7208317.0,0.0,16384.0,130286.0,68972.0,33059.0,33056.0
14.896,4.719,79.005,0.0,0.0,1.380,2877370.0,7294674.0,0.0,16384.0,130963.0,69733.0,33433.0,33434.0
15.583,4.238,78.999,0.0,0.0,1.179,3016110.0,7645700.0,0.0,16384.0,135838.0,72997.0,35055.0,35054.0
16.070,4.089,78.658,0.032,0.0,1.150,2840192.0,7205645.0,0.0,102400.0,130094.0,68943.0,33065.0,33063.0
15.949,4.791,78.135,0.0,0.0,1.125,2736546.0,6935647.0,0.0,16384.0,119860.0,66156.0,31777.0,31777.0
15.789,4.714,78.463,0.0,0.0,1.033,2726358.0,6914210.0,0.0,16384.0,119265.0,65894.0,31708.0,31706.0
16.891,4.671,77.639,0.0,0.0,0.800,2721526.0,6899221.0,0.0,16384.0,119650.0,65885.0,31638.0,31638.0
16.244,5.233,77.368,0.032,0.0,1.124,2787690.0,7068894.0,0.0,16384.0,122295.0,67379.0,32429.0,32424.0
16.291,5.087,77.560,0.0,0.0,1.062,2798034.0,7091698.0,0.0,28672.0,122549.0,67646.0,32521.0,32516.0
16.736,4.947,77.385,0.0,0.0,0.932,2794064.0,7087697.0,0.0,16384.0,122819.0,67534.0,32497.0,32495.0
15.523,5.292,78.063,0.0,0.0,1.123,2986070.0,7568686.0,0.0,20480.0,128071.0,71938.0,34715.0,34713.0
16.554,4.863,77.552,0.0,0.0,1.031,2796604.0,7090766.0,0.0,16384.0,122530.0,67567.0,32525.0,32521.0
16.543,4.708,77.749,0.0,0.032,0.967,2805204.0,7112257.0,0.0,16384.0,122738.0,67696.0,32610.0,32607.0
5.305,1.547,92.927,0.032,0.0,0.189,1170334.0,2951472.0,0.0,90112.0,48667.0,28067.0,13567.0,13473.0
0.031,0.031,99.937,0.0,0.0,0.0,246.0,338.0,0.0,12288.0,182.0,345.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,132.0,452.0,0.0,0.0,178.0,297.0,2.0,2.0
0.0,0.031,99.969,0.0,0.0,0.0,186.0,786.0,0.0,0.0,131.0,255.0,3.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,648.0,322.0,0.0,0.0,159.0,257.0,6.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,126.0,322.0,0.0,0.0,235.0,313.0,2.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,246.0,322.0,0.0,0.0,171.0,255.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,896.0,322.0,0.0,12288.0,138.0,245.0,6.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,126.0,338.0,0.0,0.0,147.0,253.0,2.0,1.0
0.031,0.0,99.969,0.0,0.0,0.0,126.0,322.0,0.0,0.0,176.0,328.0,2.0,1.0
0.0,0.063,99.937,0.0,0.0,0.0,6079.0,6584.0,0.0,4096.0,475.0,673.0,66.0,52.0
10.648,3.414,84.842,0.0,0.0,1.096,3147929.0,7930976.0,0.0,0.0,156734.0,70579.0,36672.0,36611.0
23.070,6.392,67.785,0.0,0.0,2.753,6860008.0,17390762.0,0.0,16384.0,342348.0,153039.0,79763.0,79763.0
22.364,6.805,68.466,0.032,0.0,2.332,6845260.0,17354123.0,0.0,28672.0,342898.0,152442.0,79587.0,79582.0
22.685,6.491,68.661,0.0,0.0,2.164,6747768.0,17111908.0,0.0,16384.0,335708.0,150774.0,78452.0,78453.0
21.720,6.545,69.297,0.0,0.0,2.438,6731666.0,17069649.0,0.0,20480.0,334676.0,150304.0,78286.0,78281.0
22.477,6.272,68.800,0.032,0.0,2.420,6733680.0,17073371.0,0.0,16384.0,334881.0,150282.0,78300.0,78296.0
22.328,6.266,68.734,0.0,0.0,2.672,6766524.0,17160374.0,0.0,16384.0,336182.0,151593.0,78702.0,78700.0
22.352,6.955,68.290,0.0,0.0,2.403,6744396.0,17093865.0,0.0,16384.0,336008.0,150522.0,78395.0,78382.0
22.304,6.158,68.890,0.0,0.0,2.648,6746730.0,17107695.0,0.0,28672.0,335764.0,151025.0,78481.0,78482.0
22.927,5.963,68.909,0.0,0.0,2.200,6751314.0,17119164.0,0.0,16384.0,336540.0,151131.0,78495.0,78493.0
21.303,6.515,69.594,0.032,0.0,2.555,6784547.0,17200693.0,0.0,90112.0,332482.0,151806.0,78881.0,78876.0
22.342,5.983,69.383,0.0,0.0,2.292,6757410.0,17136927.0,0.0,16384.0,331695.0,151028.0,78565.0,78563.0
21.695,6.467,69.544,0.0,0.0,2.294,6775640.0,17177691.0,0.0,16384.0,336051.0,151555.0,78785.0,78784.0
21.950,6.449,69.091,0.032,0.0,2.478,6819768.0,17291954.0,0.0,16384.0,335752.0,152472.0,79303.0,79302.0
21.743,7.036,68.843,0.0,0.032,2.345,6839622.0,17343688.0,0.0,28672.0,337875.0,152823.0,79533.0,79529.0
21.080,6.362,69.859,0.0,0.0,2.699,6842904.0,17346046.0,0.0,16384.0,337092.0,152673.0,79562.0,79556.0
21.125,6.839,69.543,0.0,0.0,2.493,6867666.0,17412976.0,0.0,16384.0,337982.0,153658.0,79858.0,79860.0
21.675,6.490,69.533,0.0,0.0,2.302,6849130.0,17364481.0,0.0,16384.0,336748.0,152885.0,79630.0,79626.0
21.700,6.424,69.351,0.0,0.0,2.525,6802248.0,17250040.0,0.0,16384.0,335660.0,151973.0,79093.0,79092.0
22.092,6.357,69.167,0.0,0.0,2.384,6852532.0,17376917.0,0.0,16384.0,337223.0,153126.0,79703.0,79701.0
20.885,6.431,70.010,0.0,0.0,2.674,6814070.0,17277391.0,0.0,106496.0,331528.0,151540.0,79189.0,79181.0
20.764,6.369,70.159,0.032,0.0,2.675,6804136.0,17250402.0,0.0,16384.0,331230.0,151394.0,79119.0,79119.0
21.285,5.695,70.124,0.0,0.0,2.895,6824554.0,17305075.0,0.0,16384.0,331234.0,151866.0,79362.0,79357.0
20.351,6.124,70.718,0.0,0.0,2.807,6750436.0,17116408.0,0.0,16384.0,326256.0,150524.0,78534.0,78537.0
20.351,6.102,70.958,0.0,0.0,2.588,6736024.0,17079157.0,0.0,16384.0,325089.0,150129.0,78330.0,78325.0
20.436,5.669,71.076,0.0,0.032,2.787,6720918.0,17043713.0,0.0,16384.0,324677.0,149744.0,78146.0,78148.0
20.806,6.058,70.473,0.032,0.0,2.632,6729468.0,17062894.0,0.0,28672.0,325419.0,150002.0,78244.0,78243.0
20.767,5.974,70.895,0.0,0.0,2.364,6720568.0,17037638.0,0.0,16384.0,323955.0,149728.0,78097.0,78092.0
20.869,6.089,70.504,0.0,0.0,2.537,6734898.0,17077191.0,0.0,16384.0,324696.0,150079.0,78321.0,78322.0
20.658,5.683,70.913,0.0,0.0,2.746,6743864.0,17100157.0,0.0,16384.0,324674.0,150200.0,78439.0,78441.0
20.772,6.559,70.096,0.064,0.0,2.508,6781010.0,17196429.0,0.0,163840.0,331092.0,152280.0,78885.0,78883.0
21.203,6.781,69.596,0.0,0.0,2.420,6831322.0,17316985.0,0.0,16384.0,332694.0,153477.0,79366.0,79363.0
21.367,6.224,70.035,0.0,0.0,2.374,6801512.0,17244055.0,0.0,28672.0,331537.0,152798.0,79108.0,79101.0
22.247,6.302,69.223,0.0,0.0,2.228,6882096.0,17447841.0,0.0,16384.0,335413.0,154331.0,80004.0,80002.0
21.921,6.414,69.432,0.0,0.0,2.234,6896520.0,17489301.0,0.0,20480.0,336020.0,154558.0,80192.0,80195.0
21.811,6.792,69.324,0.0,0.0,2.073,6908080.0,17516412.0,0.0,16384.0,337071.0,154974.0,80391.0,80390.0
21.483,6.714,69.501,0.0,0.0,2.302,6876086.0,17434999.0,0.0,16384.0,335561.0,154109.0,79938.0,79933.0
22.165,6.150,69.603,0.0,0.0,2.082,6900860.0,17498879.0,0.0,16384.0,336416.0,154664.0,80225.0,80226.0
22.307,6.200,69.351,0.032,0.0,2.109,6886262.0,17461962.0,0.0,28672.0,338435.0,154386.0,80045.0,80042.0
21.696,6.607,69.091,0.0,0.0,2.605,6881334.0,17447603.0,0.0,24576.0,337188.0,153948.0,80032.0,80024.0
21.281,6.343,69.838,0.0,0.0,2.537,6798350.0,17235182.0,0.0,81920.0,330180.0,151845.0,79085.0,79084.0
20.314,6.344,70.843,0.0,0.0,2.499,6744702.0,17102121.0,0.0,16384.0,327015.0,150832.0,78426.0,78430.0
20.745,6.554,70.347,0.0,0.0,2.354,6772054.0,17172915.0,0.0,16384.0,326943.0,151138.0,78743.0,78735.0
20.447,6.550,70.288,0.032,0.032,2.652,6822710.0,17299180.0,0.0,45056.0,331677.0,151989.0,79321.0,79323.0
20.784,6.631,70.131,0.0,0.0,2.455,6831790.0,17324009.0,0.0,16384.0,331949.0,152300.0,79460.0,79459.0
21.069,6.206,69.987,0.032,0.0,2.705,6827740.0,17310035.0,0.0,16384.0,331499.0,152192.0,79379.0,79374.0
