10,3.352,0.0385284887381331,3.365,0.0368932393686312,3.359,0.0460555220479707,3.603,0.0983248583918521
30,6.333,0.443246858734247,6.695,0.801127677436971,6.958,0.806719006566447,7.675,0.969309605395052
50,9.153,0.686181867696572,11.991,1.99976915334412,12.482,1.78392077552041,12.306,0.706937055189498
70,12.272,1.98450553595152,14.688,3.08108855222739,14.683,3.1554117533744,14.544,1.18375297723432
90,15.955,1.02953333549181,18.538,2.2637373228064,18.572,1.84439571555443,20.717,1.67486682721012
110,19.502,0.632768168886169,23.177,1.64842045607302,22.578,1.24562166540781,26.022,0.958526647169151
130,23.299,0.860832284607299,26.872,2.49790045171273,28.965,2.09707335748339,31.34,1.92402356187929
150,27.643,1.3463122470908,31.761,2.95596741073601,32.97,1.88709653524491,35.851,1.91433452318728
170,32.712,1.36812767435402,37.229,2.92503162376067,37.626,3.27604504106874,42.753,1.67134709474457
190,36.067,1.23763259671214,39.512,1.08248479589015,42.682,2.08356958660425,46.799,2.21792921437994
210,39.708,1.89052491241043,46.444,2.31779205279507,48.283,2.95565390396102,53.613,2.15164045943244
230,43.176,1.32195310052967,49.298,1.90063030480826,52.124,1.00465804021955,57.746,1.93222496964855
250,46.554,1.38398137431269,53.714,2.57863098906722,58.433,2.06325551818802,63.385,2.2159635476344
270,49.433,1.40014324663983,59.028,3.23368314258937,62.552,1.5462485066911,66.634,2.40858741450946
290,53.445,1.78214758086978,62.767,2.19700326202155,65.617,1.53728512500302,71.476,2.4208180435547
