10,3394.4546774,36.5854704865967
30,6708.9524108,46.507376003834
50,9134.22848,440.340806321526
70,11391.5111747,570.678246721477
90,12427.6636443,467.145251934502
110,13045.2175801,146.372874865193
130,13214.4986739,94.1457885613442
150,13353.0770343,73.1847829925539
170,13373.0210781,42.7669703337643
190,13337.8498384,26.8703664019353
210,13340.6558298,30.6536918666141
230,13245.8651644,81.4113936923138
250,13202.8318588,28.817413246734
270,13091.0211578,95.9277666838973
290,13007.5466283,31.9126406943748
